Дата,Телевизия,Предаване,Кандидат,Партия,Линк
2021-11-01,БНТ,Още от деня,Иван Иванов,0 - НЕЗАВИСИМ КАНДИДАТ,https://bnt.bg/news/oshte-ot-denya-rosen-milenov-kandidat-za-prezident-i-ivan-ivanov-kandidat-za-viceprezident-izdignati-ot-ik-v306525-299858news.html
2021-11-01,БНТ,БНТ Дебати президентски избори,Мария Колева,20 - ПРАВОТО,https://bnt.bg/news/debatat-za-balgariya-v306534-299858news.html
2021-11-01,БНТ,БНТ Дебати президентски избори,Александър Томов,10 - БЪЛГАРСКА СОЦИАЛДЕМОКРАЦИЯ – ЕВРОЛЕВИЦА,https://bnt.bg/news/debatat-za-balgariya-v306534-299858news.html
2021-11-01,БНТ,БНТ Дебати президентски избори,Цветан Манчев,4 - КП ПАТРИОТИЧЕН ФРОНТ – НФСБ и БДС РАДИКАЛИ и БНДС ЦЕЛОКУПНА БЪЛГАРИЯ,https://bnt.bg/news/debatat-za-balgariya-v306534-299858news.html
2021-11-01,БНТ,БНТ Дебати президентски избори,Горан Благоев,7 - НАЦИОНАЛНО ОБЕДИНЕНИЕ НА ДЕСНИЦАТА,https://bnt.bg/news/debatat-za-balgariya-v306534-299858news.html
2021-11-01,БНТ,БНТ Дебати президентски избори,Севина Хаджийска,8 - БЪЛГАРСКИ СЪЮЗ ЗА ДИРЕКТНА ДЕМОКРАЦИЯ (БСДД),https://bnt.bg/news/debatat-za-balgariya-v306534-299858news.html
2021-11-02,Nova,"""Здравей, България""",Костадин Костадинов,5 - ВЪЗРАЖДАНЕ,https://nova.bg/news/view/2021/11/02/344933/%D0%BA%D0%BE%D1%81%D1%82%D0%B0%D0%B4%D0%B8%D0%BD-%D0%BA%D0%BE%D1%81%D1%82%D0%B0%D0%B4%D0%B8%D0%BD%D0%BE%D0%B2-%D0%BE%D1%81%D0%BD%D0%BE%D0%B2%D0%BD%D0%B8%D1%8F%D1%82-%D0%BD%D0%B0%D1%82%D0%B8%D1%81%D0%BA-%D0%B5-%D0%B2%D1%8A%D1%80%D1%85%D1%83-%D0%B4%D1%8A%D1%80%D0%B6%D0%B0%D0%B2%D0%BD%D0%B8%D1%82%D0%B5-%D0%B1%D0%BE%D0%BB%D0%BD%D0%B8%D1%86%D0%B8/
2021-11-02,Nova,Твоят ден,Валери Симеонов,4 - КП ПАТРИОТИЧЕН ФРОНТ – НФСБ и БДС РАДИКАЛИ и БНДС ЦЕЛОКУПНА БЪЛГАРИЯ,https://nova.bg/news/view/2021/11/02/344953/%D0%BA%D0%BE%D1%81%D1%82%D0%B0%D0%B4%D0%B8%D0%BD%D0%BE%D0%B2-%D0%B8-%D1%81%D0%B8%D0%B4%D0%B5%D1%80%D0%BE%D0%B2-%D0%BE%D0%BF%D1%80%D0%BE%D0%B2%D0%B5%D1%80%D0%B3%D0%B0%D1%85%D0%B0-%D1%82%D0%B2%D1%8A%D1%80%D0%B4%D0%B5%D0%BD%D0%B8%D0%B5%D1%82%D0%BE-%D0%BD%D0%B0-%D1%81%D0%B8%D0%BC%D0%B5%D0%BE%D0%BD%D0%BE%D0%B2-%D0%B7%D0%B0-%D1%80%D1%83%D1%81%D0%BE%D1%84%D0%B8%D0%BB%D1%81%D0%BA%D0%B0-%D1%85%D0%B8%D0%B1%D1%80%D0%B8%D0%B4%D0%BD%D0%B0-%D0%B0%D1%82%D0%B0%D0%BA%D0%B0/
2021-11-02,Nova,Твоят ден,Христо Проданов,33 - БСП ЗА БЪЛГАРИЯ,https://nova.bg/news/view/2021/11/02/344948/%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%BD%D0%BE%D0%B2-%D1%81%D1%80%D0%B5%D0%B4%D1%81%D1%82%D0%B2%D0%B0-%D0%B7%D0%B0-%D0%BA%D0%BE%D0%BC%D0%BF%D0%B5%D0%BD%D1%81%D0%B0%D1%86%D0%B8%D0%B8-%D0%BD%D0%B0-%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81%D0%B0-%D0%B8%D0%BC%D0%B0-%D0%BD%D0%B5-%D0%BC%D0%BE%D0%B6%D0%B5-%D0%B4%D0%B0-%D1%81%D0%B5-%D0%B3%D0%BE%D0%B2%D0%BE%D1%80%D0%B8-%D0%B7%D0%B0-%D0%BB%D0%B8%D0%BF%D1%81%D0%B0-%D0%BD%D0%B0-%D0%BF%D0%B0%D1%80%D0%B8/
2021-11-02,bTV,Лице в лице,Александър Томов,10 - БЪЛГАРСКА СОЦИАЛДЕМОКРАЦИЯ – ЕВРОЛЕВИЦА,https://btvnovinite.bg/predavania/lice-v-lice/aleksandar-tomov-kandidatirah-se-za-prezident-zashtoto-protestat-e-predaden.html
