Дата,Телевизия,Предаване,Кандидат,Партия,Линк
2021-11-04,Nova,"""Здравей, България""",Мария Касимова-Моасе,0 - НЕЗАВИСИМ КАНДИДАТ,https://nova.bg/news/view/2021/11/04/345190/%D0%BF%D0%B0%D0%BD%D0%BE%D0%B2-%D0%B7%D0%B0-%D0%B4%D0%B0-%D0%B8%D0%BC%D0%B0-%D0%BF%D1%80%D0%B0%D0%B2%D0%B8%D1%82%D0%B5%D0%BB%D1%81%D1%82%D0%B2%D0%BE-%D0%B5-%D0%B2%D0%B0%D0%B6%D0%BD%D0%BE-%D0%BA%D0%BE%D0%B9-%D1%89%D0%B5-%D0%B5-%D0%BF%D1%80%D0%B5%D0%B7%D0%B8%D0%B4%D0%B5%D0%BD%D1%82/
2021-11-03,Nova,Твоят ден,Любомир Каримански,24 - ИТН,https://nova.bg/news/view/2021/11/03/345071/%D0%BA%D0%B0%D1%80%D0%B8%D0%BC%D0%B0%D0%BD%D1%81%D0%BA%D0%B8-%D0%B4%D0%B0%D0%B2%D0%B0%D1%82-%D0%B4%D0%BE-350-000-%D0%BB%D0%B2-%D0%B7%D0%B0-%D0%B4%D0%B0-%D0%BF%D1%83%D1%81%D0%BD%D0%B0%D1%82-%D1%82%D0%B8%D1%80-%D0%B1%D0%B5%D0%B7-%D0%BF%D1%80%D0%BE%D0%B2%D0%B5%D1%80%D0%BA%D0%B0-%D0%BF%D1%80%D0%B5%D0%B7-%D0%BC%D0%B8%D1%82%D0%BD%D0%B8%D1%86%D0%B8%D1%82%D0%B5/
2021-11-04,Nova,"""Здравей, България""",Мая Манолова,31 - ИЗПРАВИ СЕ БГ! НИЕ ИДВАМЕ!,https://nova.bg/news/view/2021/11/04/345188/%D0%BC%D0%B0%D0%BD%D0%BE%D0%BB%D0%BE%D0%B2%D0%B0-%D0%B7%D0%B5%D0%BB%D0%B5%D0%BD%D0%B8%D1%8F%D1%82-%D1%81%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82-%D1%82%D1%80%D1%8F%D0%B1%D0%B2%D0%B0-%D0%B4%D0%B0-%D0%B1%D1%8A%D0%B4%D0%B5-%D0%BA%D0%BE%D1%80%D0%B8%D0%B3%D0%B8%D1%80%D0%B0%D0%BD/
2021-11-04,Nova,Пресечна точка,Радостин Василев,24 - ИТН,https://nova.bg/news/view/2021/11/04/345254/%D0%BF%D1%80%D0%B5%D1%81%D0%B5%D1%87%D0%BD%D0%B0-%D1%82%D0%BE%D1%87%D0%BA%D0%B0-%D0%B7%D0%B0-%D0%BC%D0%B5%D1%80%D0%BA%D0%B8%D1%82%D0%B5-%D1%81%D1%80%D0%B5%D1%89%D1%83-covid-19-%D0%B8-%D0%B8%D0%BA%D0%BE%D0%BD%D0%BE%D0%BC%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%BE%D1%82%D0%BE-%D0%BE%D1%82%D1%80%D0%B0%D0%B6%D0%B5%D0%BD%D0%B8%D0%B5-%D0%BE%D1%82-%D0%BF%D0%B0%D0%BD%D0%B4%D0%B5%D0%BC%D0%B8%D1%8F%D1%82%D0%B0/
2021-11-04,Nova,Пресечна точка,Зарко Маринов,30 - ДЕМОКРАТИЧНА БЪЛГАРИЯ – ОБЕДИНЕНИЕ,https://nova.bg/news/view/2021/11/04/345254/%D0%BF%D1%80%D0%B5%D1%81%D0%B5%D1%87%D0%BD%D0%B0-%D1%82%D0%BE%D1%87%D0%BA%D0%B0-%D0%B7%D0%B0-%D0%BC%D0%B5%D1%80%D0%BA%D0%B8%D1%82%D0%B5-%D1%81%D1%80%D0%B5%D1%89%D1%83-covid-19-%D0%B8-%D0%B8%D0%BA%D0%BE%D0%BD%D0%BE%D0%BC%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%BE%D1%82%D0%BE-%D0%BE%D1%82%D1%80%D0%B0%D0%B6%D0%B5%D0%BD%D0%B8%D0%B5-%D0%BE%D1%82-%D0%BF%D0%B0%D0%BD%D0%B4%D0%B5%D0%BC%D0%B8%D1%8F%D1%82%D0%B0/
2021-11-04,Nova,Пресечна точка,Тунджай Йозтюрк,17 - ДПС,https://nova.bg/news/view/2021/11/04/345254/%D0%BF%D1%80%D0%B5%D1%81%D0%B5%D1%87%D0%BD%D0%B0-%D1%82%D0%BE%D1%87%D0%BA%D0%B0-%D0%B7%D0%B0-%D0%BC%D0%B5%D1%80%D0%BA%D0%B8%D1%82%D0%B5-%D1%81%D1%80%D0%B5%D1%89%D1%83-covid-19-%D0%B8-%D0%B8%D0%BA%D0%BE%D0%BD%D0%BE%D0%BC%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%BE%D1%82%D0%BE-%D0%BE%D1%82%D1%80%D0%B0%D0%B6%D0%B5%D0%BD%D0%B8%D0%B5-%D0%BE%D1%82-%D0%BF%D0%B0%D0%BD%D0%B4%D0%B5%D0%BC%D0%B8%D1%8F%D1%82%D0%B0/
2021-11-05,Nova,Твоят ден,Евгени Будинов,32 - ГЕРБ-СДС,https://nova.bg/news/view/2021/11/05/345346/%D0%B1%D1%83%D0%B4%D0%B8%D0%BD%D0%BE%D0%B2-%D0%B3%D0%B5%D1%80%D0%B1-%D1%89%D0%B5-%D0%B2%D1%8A%D1%80%D0%BD%D0%B5-%D0%B7%D0%B5%D0%BB%D0%B5%D0%BD%D0%B8%D1%82%D0%B5-%D0%BA%D0%BE%D1%80%D0%B8%D0%B4%D0%BE%D1%80%D0%B8-%D0%B8-%D0%BD%D0%BE%D1%89-%D0%B0%D0%BA%D0%BE-%D0%B2%D0%B7%D0%B5%D0%BC%D0%B5-%D0%B2%D0%BB%D0%B0%D1%81%D1%82%D1%82%D0%B0/
2021-11-02,Nova,Пресечна точка,Волен Сидеров,11 - АТАКА,https://nova.bg/news/view/2021/11/02/345006/%D0%BF%D1%80%D0%B5%D1%81%D0%B5%D1%87%D0%BD%D0%B0-%D1%82%D0%BE%D1%87%D0%BA%D0%B0-%D0%B7%D0%B0-%D0%BF%D1%80%D0%B5%D0%B4%D0%B8%D0%B7%D0%B1%D0%BE%D1%80%D0%BD%D0%B8%D1%82%D0%B5-%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%B8-%D0%BA%D0%B0%D0%BC%D0%BF%D0%B0%D0%BD%D0%B8%D1%8F%D1%82%D0%B0-%D0%B7%D0%B0-%D0%B2%D0%BE%D1%82%D0%B0-%D0%B8-covid-19/
2021-11-03,Nova,Пресечна точка,Никола Вапцаров,31 - ИЗПРАВИ СЕ БГ! НИЕ ИДВАМЕ!,https://nova.bg/news/view/2021/11/03/345130/%D0%BF%D1%80%D0%B5%D1%81%D0%B5%D1%87%D0%BD%D0%B0-%D1%82%D0%BE%D1%87%D0%BA%D0%B0-%D0%B7%D0%B0-%D0%BC%D0%B5%D1%80%D0%BA%D0%B8%D1%82%D0%B5-%D1%81%D1%80%D0%B5%D1%89%D1%83-covid-19-%D0%B8-%D0%B8%D0%BA%D0%BE%D0%BD%D0%BE%D0%BC%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%BE%D1%82%D0%BE-%D0%BE%D1%82%D1%80%D0%B0%D0%B6%D0%B5%D0%BD%D0%B8%D0%B5-%D0%BE%D1%82-%D0%BF%D0%B0%D0%BD%D0%B4%D0%B5%D0%BC%D0%B8%D1%8F%D1%82%D0%B0/
2021-11-03,Nova,Пресечна точка,Деян Николов,5 - ВЪЗРАЖДАНЕ,https://nova.bg/news/view/2021/11/03/345130/%D0%BF%D1%80%D0%B5%D1%81%D0%B5%D1%87%D0%BD%D0%B0-%D1%82%D0%BE%D1%87%D0%BA%D0%B0-%D0%B7%D0%B0-%D0%BC%D0%B5%D1%80%D0%BA%D0%B8%D1%82%D0%B5-%D1%81%D1%80%D0%B5%D1%89%D1%83-covid-19-%D0%B8-%D0%B8%D0%BA%D0%BE%D0%BD%D0%BE%D0%BC%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%BE%D1%82%D0%BE-%D0%BE%D1%82%D1%80%D0%B0%D0%B6%D0%B5%D0%BD%D0%B8%D0%B5-%D0%BE%D1%82-%D0%BF%D0%B0%D0%BD%D0%B4%D0%B5%D0%BC%D0%B8%D1%8F%D1%82%D0%B0/
2021-11-03,Nova,Пресечна точка,Юлиан Ангелов,21 -  ВМРО-БНД,https://nova.bg/news/view/2021/11/03/345130/%D0%BF%D1%80%D0%B5%D1%81%D0%B5%D1%87%D0%BD%D0%B0-%D1%82%D0%BE%D1%87%D0%BA%D0%B0-%D0%B7%D0%B0-%D0%BC%D0%B5%D1%80%D0%BA%D0%B8%D1%82%D0%B5-%D1%81%D1%80%D0%B5%D1%89%D1%83-covid-19-%D0%B8-%D0%B8%D0%BA%D0%BE%D0%BD%D0%BE%D0%BC%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%BE%D1%82%D0%BE-%D0%BE%D1%82%D1%80%D0%B0%D0%B6%D0%B5%D0%BD%D0%B8%D0%B5-%D0%BE%D1%82-%D0%BF%D0%B0%D0%BD%D0%B4%D0%B5%D0%BC%D0%B8%D1%8F%D1%82%D0%B0/
2021-11-06,БНТ,Денят започва с Георги Любенов,Цончо Ганев,5 - ВЪЗРАЖДАНЕ,
2021-11-06,БНТ,Денят започва с Георги Любенов,Николай Хаджигенов,31 - ИЗПРАВИ СЕ БГ! НИЕ ИДВАМЕ!,
2021-11-06,БНТ,Денят започва с Георги Любенов,Красимир Каракачанов,21 -  ВМРО-БНД,
2021-11-06,БНТ,Денят започва с Георги Любенов,Волен Сидеров,11 - АТАКА,
2021-11-06,БНТ,Денят започва с Георги Любенов,Валери Симеонов,4 - КП ПАТРИОТИЧЕН ФРОНТ – НФСБ и БДС РАДИКАЛИ и БНДС ЦЕЛОКУПНА БЪЛГАРИЯ,
